date,region,channel,revenue,cost,orders,conversion_rate
2025-01-01,North,Referral,154343.4,27923.46,921,0.0573
2025-01-01,South,Organic,94346.43,24125.27,707,0.0455
2025-01-01,South,Paid,169414.96,60934.74,1139,0.05
2025-01-01,South,Referral,72297.64,13201.12,544,0.0345
2025-01-01,East,Organic,273491.55,38833.96,1511,0.044
2025-01-01,East,Paid,280681.21,118107.04,1746,0.0543
2025-01-01,East,Referral,123535.53,33019.78,994,0.0469
2025-01-01,West,Organic,104266.81,32407.37,977,0.0435
2025-01-01,West,Paid,248200.91,109094.91,1829,
2025-01-01,West,Referral,122092.02,38345.19,1050,0.0326
2025-02-01,North,Organic,154294.06,25581.94,1004,0.0487
2025-02-01,North,Paid,200489.65,74419.83,1309,0.0435
2025-02-01,North,Referral,102738.67,31153.78,846,0.0501
2025-02-01,South,Organic,180217.5,25999.29,1154,0.0405
2025-02-01,South,Paid,279005.17,95555.36,1772,0.0493
2025-02-01,South,Referral,111210.96,27620.61,830,0.0512
2025-02-01,East,Organic,96585.28,25929.45,723,0.0359
2025-02-01,East,Paid,251214.34,96661.99,1971,0.047
2025-02-01,East,Referral,169255.86,33731.58,1237,0.0476
2025-02-01,West,Organic,177947.8,36489.16,1416,0.0358
2025-02-01,West,Paid,283441.68,106628.42,1957,0.0461
2025-02-01,West,Referral,135837.48,35467.8,832,0.0377
2025-03-01,North,Organic,142822.2,28757.52,1031,0.0285
2025-03-01,North,Paid,170439.39,81459.54,1480,0.0412
2025-03-01,North,Referral,93480.02,16681.78,915,0.0353
2025-03-01,South,Organic,153096.99,22573.12,1265,0.0404
2025-03-01,South,Paid,224579.72,82330.23,1317,0.0352
2025-03-01,South,Referral,111541.13,25826.17,833,0.0271
2025-03-01,East,Organic,181658.33,27321.53,1281,0.032
2025-03-01,East,Paid,380929.93,100210.7,1936,0.0398
2025-03-01,East,Referral,147985.2,43443.39,1272,0.04
2025-03-01,West,Organic,99635.81,12749.36,936,0.038
2025-03-01,West,Paid,344107.06,96686.77,1835,0.0523
2025-03-01,West,Referral,94048.45,15958.54,797,0.0238
2025-04-01,North,Organic,109022.34,25965.81,860,0.0413
2025-04-01,North,Paid,215214.93,103954.08,1883,0.0448
2025-04-01,North,Referral,89787.33,21746.96,702,0.0593
2025-04-01,South,Organic,157133.28,62630.07,1388,0.0448
2025-04-01,South,Paid,174271.89,73333.04,1264,0.0398
2025-04-01,South,Referral,77317.06,15722.89,673,0.0513
2025-04-01,East,Organic,204669.97,39150.18,1446,0.0405
2025-04-01,East,Paid,300999.31,128663.87,2156,0.0391
2025-04-01,East,Referral,117258.71,32049.43,906,0.0248
2025-04-01,West,Organic,105539.75,36756.87,1018,0.0323
2025-04-01,West,Paid,250652.69,86739.75,1404,0.0626
2025-04-01,West,Referral,159230.37,36342.01,1168,0.0345
2025-05-01,North,Organic,125831.71,33036.5,1063,0.0362
2025-05-01,North,Paid,211675.44,96567.82,1426,0.0364
2025-05-01,North,Referral,67101.99,16132.9,549,0.04
2025-05-01,South,Organic,122782.56,22062.58,910,0.0338
2025-05-01,South,Paid,185611.45,102556.47,1663,0.0365
2025-05-01,South,Referral,91315.21,11368.05,695,0.0362
2025-05-01,East,Organic,159457.94,38011.42,1143,0.0504
2025-05-01,East,Paid,389960.2,129204.51,2201,0.0496
2025-05-01,East,Referral,95230.59,17438.58,725,0.0359
2025-05-01,West,Organic,171446.29,30280.91,1131,0.0364
2025-05-01,West,Paid,252884.02,123757.53,1705,0.031
2025-05-01,West,Referral,76686.95,28495.06,731,0.0308
2025-06-01,North,Organic,161941.73,24828.55,1102,0.0453
2025-06-01,North,Paid,269459.91,106871.09,1527,0.0483
2025-06-01,North,Referral,69542.25,16306.84,526,0.0401
2025-06-01,South,Organic,107428.49,22552.3,683,0.0515
2025-06-01,South,Paid,131380.88,70995.07,1244,0.0446
2025-06-01,South,Referral,95312.05,34282.64,807,0.0331
2025-06-01,East,Organic,165837.79,40213.55,1246,0.0356
2025-06-01,East,Paid,264960.67,107085.71,1711,0.0656
2025-06-01,East,Referral,119879.86,23217.45,794,0.0502
2025-06-01,West,Organic,174900.51,31323.73,1320,0.0476
2025-06-01,West,Paid,304197.55,132580.91,1871,0.0311
2025-06-01,West,Referral,75483.36,16770.8,625,0.0477
2025-07-01,North,Organic,174790.83,31289.74,1203,0.0444
2025-07-01,North,Paid,177011.85,55556.74,1112,0.0357
2025-07-01,North,Referral,103637.63,23356.28,723,0.0519
2025-07-01,South,Organic,96132.21,7087.74,677,0.0448
2025-07-01,South,Paid,216493.13,73217.41,1403,0.0575
2025-07-01,South,Referral,71329.01,25413.05,602,0.0487
2025-07-01,East,Organic,181685.93,48183.84,1369,0.0413
2025-07-01,East,Paid,264570.24,100400.88,1603,0.0327
2025-07-01,East,Referral,98105.39,16430.85,860,0.0282
2025-07-01,West,Organic,77842.38,25395.68,707,0.031
2025-07-01,West,Paid,186215.41,70731.49,1161,0.0403
2025-07-01,West,Referral,66741.06,17460.96,578,0.0351
2025-08-01,North,Organic,125950.62,31028.5,929,0.0287
2025-08-01,North,Paid,163869.64,50689.41,1093,0.049
2025-08-01,North,Referral,98415.04,18986.89,859,0.0529
2025-08-01,South,Organic,109129.82,27667.15,864,0.0228
2025-08-01,South,Paid,272224.77,86802.27,1570,0.0557
2025-08-01,South,Referral,91105.55,18107.16,736,0.0294
2025-08-01,East,Organic,122186.61,30553.07,1043,0.0534
2025-08-01,East,Paid,225852.71,83491.45,1409,0.0331
2025-08-01,East,Referral,85859.5,29739.05,752,0.0448
2025-08-01,West,Organic,80905.67,32267.27,744,0.0469
2025-08-01,West,Paid,168579.32,72984.15,1079,0.0452
2025-08-01,West,Referral,95892.01,12911.27,790,0.0316
2025-09-01,North,Organic,95235.57,24006.82,799,0.0365
2025-09-01,North,Paid,160689.78,62936.28,928,0.0547
2025-09-01,North,Referral,65995.19,9410.97,446,0.0556
2025-09-01,South,Organic,74703.88,16110.19,562,0.0375
2025-09-01,South,Paid,172436.48,69769.19,1075,0.0373
2025-09-01,South,Referral,57078.89,22149.15,579,0.0472
2025-09-01,East,Organic,114409.84,23652.32,992,0.049
2025-09-01,East,Paid,208938.79,98462.7,1577,0.0512
2025-09-01,East,Referral,171687.27,30235.61,1196,0.0357
2025-09-01,West,Organic,87872.7,24257.54,710,0.0414
2025-09-01,West,Paid,166278.41,70823.92,934,0.0549
2025-09-01,West,Referral,105944.4,15552.49,657,0.0566
2025-10-01,North,Organic,140911.23,22418.66,928,0.0359
2025-10-01,North,Paid,140214.58,65021.23,1024,0.0314
2025-10-01,North,Referral,144076.9,23931.49,935,0.0475
2025-10-01,South,Organic,89377.3,37572.4,798,0.0512
2025-10-01,South,Paid,171796.14,58606.32,1099,0.055
2025-10-01,South,Referral,69576.7,17327.69,549,0.0355
2025-10-01,East,Organic,145141.21,29428.9,1231,0.043
2025-10-01,East,Paid,171840.0,59246.7,1132,0.0548
2025-10-01,East,Referral,130259.59,18585.8,831,0.0531
2025-10-01,West,Organic,145975.15,28865.08,1103,0.0589
2025-10-01,West,Paid,162459.39,86039.12,1285,0.0419
2025-10-01,West,Referral,74993.96,14056.84,620,0.0391
2025-11-01,North,Organic,154993.74,30846.35,1003,0.0485
2025-11-01,North,Paid,195424.48,66246.3,1199,0.0416
2025-11-01,North,Referral,55010.09,10955.1,431,0.0401
2025-11-01,South,Organic,99787.48,25170.35,794,0.0412
2025-11-01,South,Paid,187792.52,96262.16,1411,0.0406
2025-11-01,South,Referral,84917.6,14503.32,651,0.0341
2025-11-01,East,Organic,114119.73,20656.06,937,0.0463
2025-11-01,East,Paid,218095.76,84152.95,1342,0.0425
2025-11-01,East,Referral,101866.44,16763.76,718,0.0521
2025-11-01,West,Organic,115262.8,19754.52,903,0.0604
2025-11-01,West,Paid,173976.24,77713.84,1283,0.0445
2025-11-01,West,Referral,159817.91,33361.12,1104,0.0315
2025-12-01,North,Organic,130349.04,14049.11,1007,0.0399
2025-12-01,North,Paid,186137.94,82127.0,1309,0.0356
2025-12-01,North,Referral,111786.78,19983.91,850,0.0425
2025-12-01,South,Organic,138472.04,36295.29,1098,0.0493
2025-12-01,South,Paid,98453.84,51684.42,872,
2025-12-01,South,Referral,73768.94,13122.73,705,0.0397
2025-12-01,East,Organic,103810.33,27883.1,969,0.0475
2025-12-01,East,Paid,181130.4,87285.55,1402,0.0529
2025-12-01,East,Referral,108930.11,32048.17,885,0.0514
2025-12-01,West,Organic,181646.46,32433.03,1146,0.0443
2025-12-01,West,Paid,207320.71,102474.56,1577,0.0482
2025-12-01,West,Referral,112189.92,26379.25,928,0.0369
